epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.4975,1.3473,2.74867,1.62073,0.44099,0.44366,0.42218,0.23982,1.39282,1.9667,1.69311,0.000277072,0.000277072,0.000277072
2,180.641,1.34858,2.21536,1.63136,0.48991,0.47208,0.46609,0.258,1.44796,1.73943,1.71558,0.000541009,0.000541009,0.000541009
3,268.674,1.3775,2.0947,1.65583,0.52615,0.45175,0.45261,0.25886,1.42087,1.82009,1.72471,0.000791201,0.000791201,0.000791201
4,356.015,1.35629,2.01691,1.64508,0.55807,0.51498,0.54152,0.29782,1.45252,1.68191,1.72394,0.00077115,0.00077115,0.00077115
5,443.185,1.32938,1.89313,1.61909,0.62508,0.55193,0.59964,0.3631,1.29789,1.42633,1.58674,0.000750533,0.000750533,0.000750533
6,530.652,1.28101,1.77523,1.58488,0.58604,0.60881,0.63185,0.36767,1.34246,1.41436,1.62856,0.000729916,0.000729916,0.000729916
7,617.722,1.25546,1.72307,1.55665,0.7023,0.59027,0.666,0.39427,1.29954,1.33968,1.57083,0.000709299,0.000709299,0.000709299
8,705.595,1.23456,1.65558,1.53973,0.67792,0.64668,0.68329,0.4202,1.22149,1.28601,1.51389,0.000688683,0.000688683,0.000688683
9,793.721,1.21825,1.60973,1.52293,0.64403,0.61451,0.66742,0.4206,1.20378,1.33234,1.50865,0.000668066,0.000668066,0.000668066
10,881.299,1.19444,1.56002,1.50381,0.70607,0.63481,0.70734,0.4479,1.18356,1.16058,1.47481,0.000647449,0.000647449,0.000647449
11,968.838,1.18555,1.51791,1.49623,0.7243,0.63847,0.71936,0.46422,1.16677,1.12587,1.45086,0.000626832,0.000626832,0.000626832
12,1058.11,1.16268,1.47258,1.48403,0.72008,0.67054,0.73017,0.46556,1.19168,1.1176,1.46553,0.000606216,0.000606216,0.000606216
13,1146.16,1.1574,1.46035,1.47778,0.70127,0.66608,0.72441,0.48032,1.13762,1.09854,1.43778,0.000585599,0.000585599,0.000585599
14,1233.89,1.14292,1.42479,1.46523,0.74847,0.65853,0.72971,0.49027,1.07658,1.08649,1.3951,0.000564982,0.000564982,0.000564982
15,1321.17,1.13687,1.39202,1.45762,0.74101,0.68086,0.74869,0.50675,1.09584,1.01599,1.39719,0.000544365,0.000544365,0.000544365
16,1408.89,1.10913,1.36194,1.43988,0.74765,0.70147,0.76611,0.51088,1.0948,1.0438,1.39645,0.000523749,0.000523749,0.000523749
17,1498.15,1.1111,1.34252,1.43609,0.75968,0.68667,0.76261,0.51357,1.08208,1.01186,1.38589,0.000503132,0.000503132,0.000503132
18,1589.33,1.09219,1.31881,1.42385,0.77416,0.71842,0.79292,0.53264,1.07884,0.96532,1.36052,0.000482515,0.000482515,0.000482515
19,1679.67,1.09671,1.29855,1.4218,0.78491,0.69862,0.77194,0.52652,1.04705,0.96039,1.34993,0.000461898,0.000461898,0.000461898
20,1769.5,1.07329,1.26429,1.40574,0.76497,0.72587,0.78274,0.53326,1.04214,0.95054,1.34239,0.000441282,0.000441282,0.000441282
21,1858.55,1.05951,1.2403,1.39967,0.77865,0.68331,0.77578,0.53197,1.02281,0.95761,1.3416,0.000420665,0.000420665,0.000420665
22,1948.07,1.05083,1.20924,1.39007,0.7937,0.70462,0.78245,0.5294,1.06287,0.94233,1.3521,0.000400048,0.000400048,0.000400048
23,2037.71,1.04299,1.19759,1.38185,0.79684,0.70151,0.78213,0.5393,1.01633,0.90971,1.31687,0.000379431,0.000379431,0.000379431
24,2127.49,1.02713,1.16761,1.3676,0.79321,0.72971,0.79413,0.55351,1.01066,0.88196,1.31435,0.000358815,0.000358815,0.000358815
25,2216.79,1.0217,1.14714,1.36313,0.80046,0.74161,0.80841,0.56107,1.04142,0.86704,1.32534,0.000338198,0.000338198,0.000338198
26,2305.5,1.0184,1.14999,1.36315,0.76592,0.74028,0.78444,0.54407,1.02417,0.8862,1.32086,0.000317581,0.000317581,0.000317581
27,2394.31,1.00488,1.11228,1.35066,0.77679,0.74125,0.79595,0.55563,1.01088,0.86771,1.3129,0.000296964,0.000296964,0.000296964
